DateTime,AddedIPs,RemovedIPs
1534791650,144,86
1534792828,148,447
1534793775,109,12
1534794728,110,76
1534795702,111,151
1534796659,118,42
1534797611,101,8
1534798581,83,27
1534799543,93,140
1534800493,106,7
1534801465,107,78
1534802425,90,92
1534803393,124,163
1534804334,114,5
1534805292,58,87
1534806280,50,134
1534807210,109,14
1534808172,128,91
1534809148,68,72
1534810097,114,57
1534811066,117,68
1534812282,131,63
1534813217,107,76
1534814181,125,67
1534815153,105,80
1534816099,97,63
1534817163,96,68
1534818273,78,55
1534819211,126,112
1534820169,115,62
1534821150,92,67
1534822098,85,73
1534823052,90,70
1534824016,70,67
1534824989,82,66
1534825939,74,70
1534826890,90,57
1534827875,94,71
1534828840,93,85
1534829774,85,71
1534830737,70,69
1534831693,80,68
1534832688,73,90
1534833615,71,63
1534834574,91,79
1534835562,72,83
1534836500,82,65
1534837457,64,69
1534838436,61,82
1534839377,18,93
1534840361,9,100
1534841299,12,158
1534842265,16,106
1534843212,12,101
1534844192,16,94
1534845157,15,109
1534846098,10,113
1534847057,18,96
1534848019,10,69
1534848993,13,72
1534849939,14,87
1534850901,17,69
1534851881,15,84
1534853093,121,198
1534854012,12,7
1534854988,107,111
1534855959,149,88
1534856900,190,84
1534857858,283,81
1534858815,220,62
1534859792,208,102
1534860743,229,82
1534861701,159,104
1534862675,193,92
1534863645,172,95
1534864582,130,87
1534865543,86,95
1534866512,91,93
1534867492,94,73
1534868418,66,68
1534869388,67,79
1534870332,92,73
1534871311,85,90
1534872272,94,98
1534873215,98,105
1534874180,83,75
1534875148,86,78
1534876098,86,93
1534877067,72,84
1534878027,89,81
1534878994,97,61
1534879936,96,71
1534880920,126,75
1534881877,95,88
1534882834,106,80
1534883785,87,19
1534884739,86,19
1534885693,101,54
1534886697,96,69
1534887616,113,88
1534888574,129,96
1534889563,102,127
1534890521,101,92
1534891463,66,76
1534892442,20,64
1534893384,110,95
1534894345,90,90
1534895568,132,93
1534896736,106,97
1534897691,105,81
1534898657,89,85
1534899626,98,105
1534900585,160,81
1534901535,123,79
1534902492,93,78
1534903483,95,65
1534904410,78,61
1534905374,63,83
1534906332,82,50
1534907300,87,58
1534908286,73,66
1534909210,80,70
1534910168,91,59
1534911154,58,67
1534912094,85,77
1534913056,104,83
1534914018,70,61
1534915000,84,72
1534915935,76,73
1534916892,67,74
1534917858,121,71
1534918813,82,70
1534919788,87,64
1534920737,86,87
1534921704,91,81
1534922667,99,81
1534923612,84,54
1534924584,86,99
1534925532,70,66
1534926518,75,73
1534927456,101,72
1534928414,70,85
1534929391,96,68
1534930344,98,76
1534931301,80,89
1534932258,98,89
1534933215,74,78
