DateTime,Entries,UniqueIPs
1534262666,1960,1960
1534264574,1958,1958
1534266509,1963,1963
1534268418,1969,1969
1534270452,1969,1969
1534272257,1959,1959
1534274192,1949,1949
1534276095,1943,1943
1534278030,1939,1939
1534279952,1929,1929
1534281856,1908,1908
1534283779,1899,1899
1534285694,1913,1913
1534287653,2482,2482
1534289558,2457,2457
1534291471,2447,2447
1534293632,2443,2443
1534295551,2458,2458
1534297471,2481,2481
1534299378,2508,2508
1534301308,2513,2513
1534303235,2523,2523
1534305141,2527,2527
1534307069,2518,2518
1534308975,2533,2533
1534310901,2532,2532
1534312840,2533,2533
1534314784,2530,2530
1534316666,2528,2528
1534318571,2522,2522
1534320509,2524,2524
1534322414,2579,2579
1534324369,2574,2574
1534326251,2560,2560
1534328197,1408,1408
1534330093,1406,1406
1534332025,1972,1972
1534333936,1983,1983
1534335861,1980,1980
1534337782,1988,1988
1534339696,1989,1989
1534341638,1999,1999
1534343559,2009,2009
1534345465,2025,2025
1534347386,2031,2031
1534349583,2039,2039
1534351462,2036,2036
1534353382,2038,2038
1534355314,2030,2030
1534357219,2030,2030
1534359145,2023,2023
1534361052,2019,2019
1534362984,2009,2009
1534365149,1984,1984
1534367068,1981,1981
1534368996,2027,2027
1534370897,2022,2022
1534372810,1992,1992
1534374757,2522,2522
1534376660,2527,2527
1534378920,2534,2534
1534381258,2532,2532
1534383140,2528,2528
1534385054,2530,2530
1534386980,2550,2550
1534389145,2550,2550
1534391065,2551,2551
1534392975,2550,2550
1534394895,2550,2550
1534396822,2544,2544
1534398745,2533,2533
1534400654,2537,2537
1534402583,2530,2530
1534404492,2532,2532
1534406434,2507,2507
1534408340,2489,2489
1534410269,2483,2483
1534412171,2502,2502
1534414094,1299,1299
1534416018,1297,1297
1534417940,1859,1859
1534419876,1882,1882
1534421774,1881,1881
1534423938,1894,1894
1534425864,1904,1904
1534427768,1946,1946
1534429699,1945,1945
1534432123,1966,1966
1534434013,1976,1976
1534435941,1982,1982
1534437865,1983,1983
1534439781,1987,1987
1534441694,1997,1997
1534443620,2017,2017
1534445539,2009,2009
1534447457,2017,2017
1534449380,2021,2021
1534451296,2024,2024
1534453235,2018,2018
1534455151,2019,2019
1534457056,2018,2018
1534458985,2012,2012
1534460891,2509,2509
1534463798,2506,2506
1534465698,2497,2497
1534467643,2485,2485
1534469540,2487,2487
1534471470,2487,2487
1534473392,2497,2497
1534475315,2498,2498
1534477474,2489,2489
1534479378,2487,2487
1534481556,2481,2481
1534483454,2479,2479
1534485374,2483,2483
1534487297,2498,2498
1534489230,2503,2503
1534491150,2511,2511
1534493071,2508,2508
1534494972,2495,2495
1534496904,2496,2496
1534498819,2497,2497
1534500753,1389,1389
1534502659,1399,1399
1534504595,1927,1927
1534506495,1940,1940
1534508420,1944,1944
1534510348,1959,1959
1534512268,1969,1969
1534514178,1969,1969
1534516105,1964,1964
1534518038,1996,1996
1534520181,2014,2014
1534522154,2007,2007
1534524034,2016,2016
1534525940,2031,2031
1534527855,2036,2036
1534529808,2051,2051
1534531715,2068,2068
1534533858,2076,2076
1534535772,2081,2081
1534537708,2085,2085
1534539644,2092,2092
1534541787,2081,2081
1534543699,2076,2076
1534545642,2075,2075
1534547560,2530,2530
1534549966,2517,2517
1534551876,2554,2554
1534553768,2575,2575
1534555710,2584,2584
1534557629,2592,2592
1534559543,2593,2593
1534561463,2598,2598
1534563373,2595,2595
1534565306,2600,2600
1534567216,2595,2595
1534569163,2597,2597
1534571077,2602,2602
1534572988,2614,2614
1534574917,2618,2618
1534576839,2609,2609
1534578742,2610,2610
1534580659,2625,2625
1534582571,2640,2640
1534584496,2648,2648
1534586445,1465,1465
1534588363,1483,1483
1534590283,2037,2037
1534592180,2060,2060
1534594106,2110,2110
1534596010,2148,2148
1534597963,2185,2185
1534599877,2207,2207
1534601784,2217,2217
1534603693,2230,2230
1534605690,2248,2248
1534607543,2254,2254
1534609455,2263,2263
1534611376,2261,2261
1534613311,2262,2262
1534615238,2284,2284
1534617167,2303,2303
1534619060,2309,2309
1534620984,2303,2303
1534623157,2296,2296
1534625056,2294,2294
1534626982,2290,2290
1534628914,2278,2278
1534630841,2274,2274
1534632760,2253,2253
1534634657,2765,2765
1534636586,2764,2764
1534638489,2771,2771
1534640444,2777,2777
1534642354,2775,2775
1534644262,2772,2772
1534646190,2765,2765
1534648095,2764,2764
1534650040,2762,2762
1534651954,2761,2761
1534653856,2757,2757
1534655798,2751,2751
1534657699,2747,2747
1534659630,2765,2765
1534661535,2766,2766
1534663466,2763,2763
1534665373,2765,2765
1534667305,2775,2775
1534669233,2782,2782
1534671144,2778,2778
1534673061,1523,1523
1534674981,1490,1490
1534676900,2142,2142
1534678813,2165,2165
1534680745,2166,2166
1534682663,2149,2149
1534684580,2140,2140
1534686496,2146,2146
1534688410,2176,2176
1534690342,2185,2185
1534692252,2178,2178
1534694442,2174,2174
1534696346,2196,2196
1534698264,2219,2219
1534700183,2216,2216
1534702094,2225,2225
1534704256,2234,2234
1534706193,2251,2251
1534708093,2266,2266
1534710013,2275,2275
1534711931,2268,2268
1534713854,2256,2256
1534715786,2238,2238
1534717694,2215,2215
1534719625,2788,2788
1534721546,2809,2809
1534723504,2808,2808
1534725614,2779,2779
1534727542,2772,2772
1534729465,2784,2784
1534731412,2802,2802
1534733294,2819,2819
1534735230,2840,2840
1534737145,2833,2833
1534739057,2837,2837
1534740982,2852,2852
1534742891,2849,2849
1534744827,2872,2872
1534746757,2893,2893
1534748657,2892,2892
1534750572,2894,2894
1534752508,2904,2904
1534754417,2886,2886
1534756346,2884,2884
1534758260,2869,2869
1534760182,1585,1585
1534762102,1603,1603
1534764023,2121,2121
1534765948,2131,2131
1534767855,2135,2135
1534769788,2160,2160
1534771690,2177,2177
1534774129,2195,2195
1534776028,2238,2238
1534777954,2273,2273
1534779856,2275,2275
1534782044,2307,2307
1534783944,2314,2314
1534785856,2327,2327
1534787781,2345,2345
1534789694,2385,2385
1534791639,2411,2411
1534793550,2415,2415
1534795462,2413,2413
1534797371,2423,2423
1534799305,2432,2432
1534801210,2433,2433
1534803130,2419,2419
1534805054,2428,2428
1534806985,2898,2898
1534808891,2906,2906
1534811063,2922,2922
1534812981,2934,2934
1534814888,2956,2956
1534817063,2970,2970
1534818984,2989,2989
1534820907,2989,2989
1534822811,2985,2985
1534824750,2995,2995
1534826654,3026,3026
1534828832,3060,3060
1534830734,3083,3083
1534832678,3133,3133
1534834571,3157,3157
1534836495,3212,3212
1534838431,3195,3195
1534840347,3186,3186
1534842258,3183,3183
1534844181,3189,3189
1534846093,1807,1807
1534848015,1826,1826
1534849934,2509,2509
1534851868,2519,2519
1534853773,2516,2516
1534855946,2524,2524
1534857855,2515,2515
1534859782,2493,2493
1534861697,2488,2488
1534863635,2476,2476
1534865540,2470,2470
1534867482,2473,2473
1534869382,2472,2472
1534871308,2489,2489
1534873212,2504,2504
1534875138,2502,2502
1534877064,2506,2506
1534878991,2496,2496
1534880904,2498,2498
1534882831,2491,2491
1534884734,2486,2486
1534886688,2495,2495
1534888571,2485,2485
1534890511,2493,2493
1534892439,3109,3109
1534894342,3102,3102
1534896271,3112,3112
1534898190,3106,3106
1534900121,3098,3098
1534902028,3084,3084
1534903939,3056,3056
1534905879,3042,3042
1534908020,3007,3007
1534909931,3001,3001
1534911866,3000,3000
1534913769,2993,2993
1534915700,2990,2990
1534917633,2978,2978
1534919573,2985,2985
1534921455,2997,2997
1534923369,3008,3008
1534925302,3010,3010
1534927210,3018,3018
1534929388,3023,3023
1534931296,3027,3027
1534933211,1433,1433
