DateTime,AddedIPs,RemovedIPs
1534444571,38,0
1534445542,49,44
1534446511,69,32
1534447460,51,0
1534448412,47,16
1534449391,34,102
1534450366,50,32
1534451298,48,0
1534452255,3,49
1534453238,12,39
1534454188,35,0
1534455153,50,64
1534456113,74,20
1534457058,65,0
1534458021,71,49
1534458996,55,0
1534459935,52,42
1534460897,58,27
1534461872,47,0
1534463810,59,69
1534464733,52,0
1534465703,68,19
1534466653,49,26
1534467647,77,57
1534468678,65,34
1534469795,59,19
1534470753,52,20
1534471940,47,18
1534472892,55,25
1534473855,64,22
1534474821,63,21
1534475785,35,38
1534476888,51,18
1534477956,44,14
1534478895,53,22
1534479871,56,17
1534481055,48,25
1534482024,57,43
1534482982,53,0
1534483955,54,48
1534484915,38,17
1534485861,51,0
1534486815,42,34
1534487788,62,0
1534488758,48,27
1534489719,54,39
1534490658,46,7
1534491615,51,0
1534492587,41,37
1534493535,52,0
1534494498,62,17
1534495472,54,19
1534496420,56,22
1534497376,46,23
1534498359,40,46
1534499297,39,28
1534500266,51,22
1534501211,44,0
1534502194,48,16
1534503133,32,23
1534504102,52,23
1534505054,40,15
1534506020,44,18
1534506987,42,15
1534507961,58,49
1534508898,42,0
1534509857,51,19
1534510821,41,24
1534511790,32,48
1534512739,39,0
1534513715,49,23
1534514659,46,28
1534515620,46,54
1534516585,48,25
1534517540,48,0
1534518525,45,60
1534519718,35,26
1534520652,46,19
1534521629,61,27
1534522601,39,15
1534523547,45,18
1534524494,45,29
1534525489,48,18
1534526409,41,22
1534527372,44,16
1534528355,51,18
1534529302,43,19
1534530254,39,31
1534531219,34,15
1534532299,40,22
1534533395,44,19
1534534336,51,0
1534535295,56,23
1534536285,50,14
1534537209,43,26
1534538178,41,12
1534539156,17,24
1534540340,65,22
1534541319,38,21
1534542253,34,0
1534543224,40,26
1534544200,31,17
1534545138,29,19
1534546094,43,13
1534547062,30,16
1534548009,41,16
1534549975,61,26
1534551156,55,16
1534552094,45,12
1534553061,42,15
1534554283,59,43
1534555213,39,0
1534556183,47,11
1534557150,50,38
1534558121,59,0
1534559072,39,36
1534560017,54,0
1534560998,40,29
1534561936,43,0
1534562892,46,29
1534563890,42,18
1534564838,50,0
1534565806,37,15
1534566758,32,22
1534567699,31,24
1534568665,49,15
1534569645,47,11
1534570573,51,13
1534571534,57,18
1534572521,53,22
1534573484,40,7
1534574412,38,0
1534575376,44,0
1534576348,38,18
1534577321,45,15
1534578276,45,16
1534579223,51,12
1534580205,43,18
1534581160,49,18
1534582104,64,28
1534583092,46,0
1534584009,53,21
1534584994,49,36
1534585939,47,0
1534586921,42,46
1534587853,49,31
1534588840,50,0
1534589797,59,14
1534590763,53,4
1534591721,49,25
1534592686,58,38
1534593672,53,54
1534594583,41,0
1534595558,56,46
1534596504,45,0
1534597471,46,32
1534598437,51,23
1534599371,49,0
1534600353,32,24
1534601315,43,21
1534602258,38,13
1534603214,41,19
1534604201,30,47
1534605135,33,0
1534606094,40,46
1534607091,48,0
1534608045,39,37
1534609011,50,19
1534609941,52,30
1534610893,38,0
1534611893,40,20
1534612812,40,38
1534613779,49,0
1534614757,43,33
1534615693,78,0
1534616670,53,30
1534617622,44,21
1534618600,48,17
1534619780,42,0
1534620737,62,29
1534621728,51,60
1534622661,36,0
1534623616,48,58
1534624594,50,18
1534625532,53,0
1534626500,47,44
1534627474,43,15
1534628410,68,0
1534629369,42,17
1534630343,47,21
1534631300,41,16
1534632253,39,19
1534633219,38,14
1534634177,44,27
1534635159,38,0
1534636095,34,26
1534637062,43,27
1534638010,48,28
1534638995,50,0
1534640454,60,54
1534641377,71,29
1534642356,51,24
1534643294,44,31
1534644270,54,35
1534645208,38,29
1534646192,50,16
1534647133,42,21
1534648097,45,29
1534649076,45,24
1534650041,48,27
1534650974,45,30
1534651963,42,22
1534652889,44,23
1534653859,43,29
1534654816,38,15
1534655808,50,27
1534656737,38,8
1534657701,32,31
1534658659,45,18
1534659632,42,23
1534660582,36,32
1534661538,41,14
1534662498,49,17
1534663476,33,22
1534664411,32,0
1534665376,32,32
1534666337,42,7
1534667316,44,23
1534668254,46,17
1534669237,30,31
1534670177,43,17
1534671156,42,22
1534672093,44,22
1534673065,56,28
1534674009,54,31
1534674991,42,36
1534675932,41,36
1534676903,51,20
1534677852,51,24
1534678816,54,17
1534679788,52,0
1534680749,52,20
1534681693,53,21
1534682674,52,21
1534683624,45,29
1534684582,46,32
1534685537,44,25
1534686500,48,39
1534687476,45,26
1534688414,42,21
1534689371,63,26
1534690352,40,28
1534691293,40,20
1534692256,45,22
1534693213,46,21
1534694453,42,40
1534695376,59,25
1534696349,51,35
1534697303,35,24
1534698266,46,35
1534699209,46,29
1534700192,44,31
1534701133,55,38
1534702097,44,45
1534703091,38,66
1534704258,45,63
1534705218,36,51
1534706204,37,55
1534707145,45,88
1534708096,45,64
1534709068,52,29
1534710017,38,24
1534710982,40,38
1534711940,52,36
1534712904,42,26
1534713858,62,25
1534714813,74,20
1534715796,53,25
1534716743,51,16
1534717696,42,44
1534718670,53,40
1534719627,62,0
1534720576,54,27
1534721555,34,41
1534723515,34,73
1534724651,39,37
1534725616,39,57
1534726584,53,51
1534727544,53,48
1534728489,53,50
1534729474,51,56
1534730437,38,42
1534731423,30,28
1534732336,53,32
1534733296,42,45
1534734277,35,43
1534735239,46,55
1534736171,45,53
1534737147,46,0
1534738108,58,70
1534739066,44,42
1534740010,56,45
1534740985,54,47
1534741934,44,60
1534742892,69,43
1534743871,52,62
1534744830,119,32
1534745775,128,56
1534746766,54,62
1534747695,71,55
1534748662,57,76
1534749627,56,88
1534750582,50,86
1534751532,49,115
1534752511,38,81
1534753459,46,0
1534754427,50,95
1534755369,51,0
1534756349,53,32
1534757290,55,49
1534758273,50,49
1534759255,46,83
1534760185,54,0
1534761136,53,35
1534762112,75,104
1534763056,50,0
1534764027,69,118
1534764991,69,99
1534765959,78,0
1534766893,68,100
1534767859,67,67
1534768813,59,237
1534769799,81,35
1534770742,75,0
1534771695,57,21
1534774141,49,84
1534775052,63,28
1534776032,52,31
1534776987,127,22
1534777964,92,0
1534778891,103,20
1534779859,76,29
1534780821,85,21
1534782059,86,35
1534782975,87,0
1534783948,91,17
1534784892,79,20
1534785867,105,21
1534786815,83,23
1534787783,79,22
1534788738,96,25
1534789697,101,27
1534790652,100,19
1534791650,98,28
1534792828,84,25
1534793775,76,20
1534794728,68,22
1534795702,71,27
1534796659,71,27
1534797611,64,26
1534798581,68,0
1534799543,66,53
1534800493,85,21
1534801465,62,0
1534802425,58,26
1534803393,82,26
1534804334,76,25
1534805292,44,32
1534806280,30,24
1534807210,94,29
1534808172,77,26
1534809148,63,28
1534810097,77,30
1534811066,79,38
1534812282,85,35
1534813217,71,35
1534814181,88,40
1534815153,77,18
1534816099,75,29
1534817163,82,33
1534818273,64,20
1534819211,83,22
1534820169,74,32
1534821150,77,31
1534822098,58,26
1534823052,64,22
1534824016,46,26
1534824989,64,30
1534825939,50,22
1534826890,65,30
1534827875,63,27
1534828840,63,30
1534829774,60,22
1534830737,47,19
1534831693,50,34
1534832688,51,24
1534833615,42,32
1534834574,68,31
1534835562,40,31
1534836500,60,41
1534837457,41,21
1534838436,34,30
1534839377,6,42
1534840361,2,47
1534841299,1,33
1534842265,5,39
1534843212,4,33
1534844192,3,35
1534845157,0,25
1534846098,1,31
1534847057,7,17
1534848019,3,41
1534848993,3,37
1534849939,7,39
1534850901,6,24
1534851881,7,30
1534853093,66,33
1534854012,10,33
1534854988,84,25
1534855959,77,30
1534856900,117,38
1534857858,153,33
1534858815,139,43
1534859792,128,43
1534860743,152,33
1534861701,97,24
1534862675,128,37
1534863645,148,22
1534864582,79,36
1534865543,58,19
1534866512,63,34
1534867492,64,36
1534868418,40,28
1534869388,46,19
1534870332,56,0
1534871311,61,31
1534872272,48,27
1534873215,58,29
1534874180,54,30
1534875148,52,29
1534876098,49,0
1534877067,35,40
1534878027,61,48
1534878994,64,1547
1534879936,67,29
1534880920,72,19
1534881877,70,28
1534882834,71,49
1534883785,68,18
1534884739,63,29
1534885693,58,39
1534886697,61,43
1534887616,68,34
1534888574,81,28
1534889563,69,33
1534890521,75,29
1534891463,50,28
1534892442,11,38
1534893384,73,34
1534894345,77,29
1534895568,72,23
1534896736,59,33
1534897691,71,20
1534898657,74,28
1534899626,64,32
1534900585,127,41
1534901535,84,29
1534902492,72,40
1534903483,67,37
1534904410,54,31
1534905374,42,31
1534906332,51,26
1534907300,58,35
1534908286,50,30
1534909210,54,31
1534910168,52,29
1534911154,45,42
1534912094,64,32
1534913056,85,28
1534914018,37,38
1534915000,49,36
1534915935,49,32
1534916892,46,32
1534917858,82,42
1534918813,54,35
1534919788,59,27
1534920737,51,35
1534921704,67,26
1534922667,59,38
1534923612,53,32
1534924584,49,46
1534925532,39,36
1534926518,45,62
1534927456,67,51
1534928414,53,27
1534929391,71,31
1534930344,65,28
1534931301,57,46
1534932258,65,39
1534933215,41,0
